"datetime"	"wtr_0"	"wtr_0.25"	"wtr_0.5"	"wtr_0.75"	"wtr_1.25"	"wtr_1.5"	"wtr_2"
2020-05-23 01:30:00	18.80611111	18.99611111	18.42611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 02:00:00	18.80611111	18.90111111	18.52111111	17.95	17.28388889	16.80777778	14.9
2020-05-23 02:30:00	18.71111111	18.80611111	18.42611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 03:00:00	18.61611111	18.71111111	18.42611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 03:30:00	18.52111111	18.61611111	18.52111111	17.95	17.28388889	16.80777778	14.9
2020-05-23 04:00:00	18.52111111	18.61611111	18.42611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 04:30:00	18.42611111	18.52111111	18.33111111	17.95	17.28388889	16.80777778	14.9
2020-05-23 05:00:00	18.33111111	18.42611111	18.33111111	17.95	17.28388889	16.80777778	14.9
2020-05-23 05:30:00	18.33111111	18.42611111	18.33111111	17.95	17.28388889	16.80777778	14.9
2020-05-23 06:00:00	18.23611111	18.33111111	18.33111111	17.95	17.28388889	16.80777778	14.9
2020-05-23 06:30:00	18.23611111	18.33111111	18.23611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 07:00:00	18.14	18.23611111	18.23611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 07:30:00	18.045	18.23611111	18.23611111	17.95	17.28388889	16.80777778	14.9
2020-05-23 08:00:00	18.14	18.23611111	18.14	17.95	17.28388889	16.80777778	14.9
2020-05-23 08:30:00	18.045	18.23611111	18.14	17.95	17.28388889	16.80777778	14.9
2020-05-23 09:00:00	18.14	18.23611111	18.14	18.045	17.28388889	16.80777778	14.9
2020-05-23 09:30:00	18.045	18.14	18.14	18.045	17.28388889	16.80777778	14.9
2020-05-23 10:00:00	18.33111111	18.61611111	18.33111111	18.14	17.37888889	16.80777778	14.9
2020-05-23 10:30:00	18.99611111	19.28222222	18.90111111	18.42611111	17.57	16.90277778	14.9
2020-05-23 11:00:00	19.47222222	19.09222222	18.61611111	18.33111111	17.475	16.90277778	14.9
2020-05-23 11:30:00	19.56722222	18.99611111	18.52111111	18.33111111	17.475	16.90277778	14.9
2020-05-23 12:00:00	19.56722222	19.56722222	18.71111111	18.52111111	17.57	16.90277778	14.9
2020-05-23 12:30:00	20.13777778	19.56722222	18.80611111	18.61611111	17.57	16.99888889	14.9
2020-05-23 13:00:00	20.32888889	20.13777778	19.09222222	18.71111111	17.665	16.99888889	14.9
2020-05-23 13:30:00	20.71	20.90111111	19.18722222	18.90111111	17.76	17.09388889	14.9
2020-05-23 14:00:00	21.28222222	21.28222222	19.47222222	19.09222222	17.855	17.09388889	14.99611111
2020-05-23 14:30:00	21.66388889	20.805	19.47222222	18.99611111	17.855	17.18888889	14.99611111
2020-05-23 15:00:00	22.525	20.805	19.47222222	18.99611111	17.855	17.18888889	14.99611111
2020-05-23 15:30:00	22.42888889	20.615	19.47222222	18.99611111	17.855	17.18888889	14.99611111
2020-05-23 16:00:00	22.71722222	21.28222222	19.75777778	19.28222222	17.95	17.28388889	14.99611111
2020-05-23 16:30:00	22.71722222	21.37777778	19.85277778	19.37722222	18.045	17.28388889	14.99611111
2020-05-23 17:00:00	22.90777778	21.09111111	19.85277778	19.28222222	17.95	17.28388889	14.99611111
2020-05-23 17:30:00	23.19611111	21.56888889	20.04277778	19.37722222	18.045	17.28388889	14.99611111
2020-05-23 18:00:00	23.19611111	21.47277778	20.04277778	19.47222222	18.045	17.37888889	14.99611111
2020-05-23 18:30:00	23.1	21.37777778	20.04277778	19.37722222	18.045	17.37888889	14.99611111
2020-05-23 19:00:00	22.90777778	21.47277778	20.04277778	19.37722222	18.045	17.37888889	14.99611111
2020-05-23 19:30:00	22.62111111	21.28222222	19.94777778	19.37722222	18.045	17.37888889	14.99611111
2020-05-23 20:00:00	22.23777778	21.28222222	19.85277778	19.28222222	18.045	17.37888889	14.99611111
2020-05-23 20:30:00	21.95111111	21.28222222	19.85277778	19.28222222	18.045	17.37888889	14.99611111
2020-05-23 21:00:00	21.66388889	21.28222222	19.85277778	19.28222222	18.045	17.37888889	15.09111111
2020-05-23 21:30:00	21.47277778	21.28222222	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-23 22:00:00	21.18722222	21.28222222	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-23 22:30:00	20.99611111	21.09111111	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-23 23:00:00	20.805	20.90111111	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-23 23:30:00	20.615	20.71	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 00:00:00	20.42388889	20.51888889	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 00:30:00	20.32888889	20.42388889	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 01:00:00	20.23388889	20.23388889	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 01:30:00	20.04277778	20.13777778	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 02:00:00	19.94777778	20.04277778	19.85277778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 02:30:00	19.85277778	19.94777778	19.75777778	19.28222222	18.045	17.28388889	15.18722222
2020-05-24 03:00:00	19.75777778	19.85277778	19.75777778	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 03:30:00	19.66222222	19.75777778	19.66222222	19.28222222	18.045	17.28388889	15.09111111
2020-05-24 04:00:00	19.56722222	19.66222222	19.66222222	19.28222222	17.95	17.28388889	15.09111111
2020-05-24 04:30:00	19.56722222	19.56722222	19.56722222	19.18722222	18.045	17.28388889	15.09111111
2020-05-24 05:00:00	19.47222222	19.56722222	19.56722222	19.18722222	18.045	17.18888889	15.09111111
2020-05-24 05:30:00	19.37722222	19.47222222	19.47222222	19.18722222	17.95	17.18888889	15.09111111
2020-05-24 06:00:00	19.37722222	19.47222222	19.37722222	19.18722222	17.95	17.18888889	15.09111111
2020-05-24 06:30:00	19.28222222	19.47222222	19.37722222	19.18722222	17.95	17.18888889	15.09111111
2020-05-24 07:00:00	19.28222222	19.37722222	19.37722222	19.18722222	17.95	17.18888889	15.09111111
