"doy_frac","variable","value","temp_depth_m","temp_c"
186.5,"X0.5",30.79888889,0.5,30.79888889
186.5208333,"X0.5",31.32814815,0.5,31.32814815
186.5416667,"X0.5",30.8694444466667,0.5,30.8694444466667
186.5625,"X0.5",30.4801851866667,0.5,30.4801851866667
186.5833333,"X0.5",30.9594444433333,0.5,30.9594444433333
186.6041667,"X0.5",31.48222222,0.5,31.48222222
186.625,"X0.5",31.5131481466667,0.5,31.5131481466667
186.6458333,"X0.5",31.2651851833333,0.5,31.2651851833333
186.6666667,"X0.5",31.5361111133333,0.5,31.5361111133333
186.6875,"X0.5",31.60277778,0.5,31.60277778
186.7083333,"X0.5",31.49388889,0.5,31.49388889
186.7291667,"X0.5",31.35351852,0.5,31.35351852
186.75,"X0.5",31.31851852,0.5,31.31851852
186.7708333,"X0.5",31.24888889,0.5,31.24888889
186.7916667,"X0.5",31.0751851866667,0.5,31.0751851866667
186.8125,"X0.5",31.0383333333333,0.5,31.0383333333333
186.8333333,"X0.5",30.8662962966667,0.5,30.8662962966667
186.8541667,"X0.5",30.72925926,0.5,30.72925926
186.875,"X0.5",30.55925926,0.5,30.55925926
186.8958333,"X0.5",30.42351852,0.5,30.42351852
186.9166667,"X0.5",30.28851852,0.5,30.28851852
186.9375,"X0.5",30.2212962966667,0.5,30.2212962966667
186.9583333,"X0.5",30.1205555566667,0.5,30.1205555566667
186.9791667,"X0.5",29.9868518533333,0.5,29.9868518533333
187,"X0.5",29.81925926,0.5,29.81925926
187.0208333,"X0.5",29.6859259266667,0.5,29.6859259266667
187.0416667,"X0.5",29.55222222,0.5,29.55222222
187.0625,"X0.5",29.3190740733333,0.5,29.3190740733333
187.0833333,"X0.5",29.18574074,0.5,29.18574074
187.1041667,"X0.5",28.98648148,0.5,28.98648148
187.125,"X0.5",28.8868518533333,0.5,28.8868518533333
187.1458333,"X0.5",28.6544444466667,0.5,28.6544444466667
187.1666667,"X0.5",28.48962963,0.5,28.48962963
187.1875,"X0.5",28.39,0.5,28.39
187.2083333,"X0.5",28.1594444433333,0.5,28.1594444433333
187.2291667,"X0.5",28.09314815,0.5,28.09314815
187.25,"X0.5",27.99425926,0.5,27.99425926
187.2708333,"X0.5",27.8298148133333,0.5,27.8298148133333
187.2916667,"X0.5",27.7638888866667,0.5,27.7638888866667
187.3125,"X0.5",27.79648148,0.5,27.79648148
187.3333333,"X0.5",28.3909259266667,0.5,28.3909259266667
187.3541667,"X0.5",28.59074074,0.5,28.59074074
187.375,"X0.5",28.7916666666667,0.5,28.7916666666667
187.3958333,"X0.5",29.1951851866667,0.5,29.1951851866667
187.4166667,"X0.5",29.56777778,0.5,29.56777778
187.4375,"X0.5",29.8751851833333,0.5,29.8751851833333
187.4583333,"X0.5",30.0831481466667,0.5,30.0831481466667
187.4791667,"X0.5",30.63537037,0.5,30.63537037
187.5,"X0.5",30.4168518533333,0.5,30.4168518533333
187.5208333,"X0.5",30.7598148166667,0.5,30.7598148166667
187.5416667,"X0.5",31.0335185166667,0.5,31.0335185166667
187.5625,"X0.5",31.45111111,0.5,31.45111111
187.5833333,"X0.5",31.65611111,0.5,31.65611111
187.6041667,"X0.5",31.7177777766667,0.5,31.7177777766667
187.625,"X0.5",31.8564814833333,0.5,31.8564814833333
187.6458333,"X0.5",31.8514814833333,0.5,31.8514814833333
187.6666667,"X0.5",31.95888889,0.5,31.95888889
187.6875,"X0.5",31.9424074066667,0.5,31.9424074066667
187.7083333,"X0.5",31.83611111,0.5,31.83611111
187.7291667,"X0.5",31.6983333333333,0.5,31.6983333333333
187.75,"X0.5",31.76574074,0.5,31.76574074
187.7708333,"X0.5",31.59,0.5,31.59
187.7916667,"X0.5",31.41574074,0.5,31.41574074
187.8125,"X0.5",31.31148148,0.5,31.31148148
187.8333333,"X0.5",31.1731481466667,0.5,31.1731481466667
187.8541667,"X0.5",30.9666666666667,0.5,30.9666666666667
187.875,"X0.5",30.83,0.5,30.83
187.8958333,"X0.5",30.6940740733333,0.5,30.6940740733333
187.9166667,"X0.5",30.5920370366667,0.5,30.5920370366667
187.9375,"X0.5",30.5248148133333,0.5,30.5248148133333
187.9583333,"X0.5",30.4233333333333,0.5,30.4233333333333
187.9791667,"X0.5",30.35611111,0.5,30.35611111
188,"X0.5",30.2212962966667,0.5,30.2212962966667
188.0208333,"X0.5",30.05351852,0.5,30.05351852
188.0416667,"X0.5",29.92,0.5,29.92
188.0625,"X0.5",29.81925926,0.5,29.81925926
188.0833333,"X0.5",29.6859259266667,0.5,29.6859259266667
188.1041667,"X0.5",29.4855555533333,0.5,29.4855555533333
188.125,"X0.5",29.28574074,0.5,29.28574074
188.1458333,"X0.5",29.1527777766667,0.5,29.1527777766667
188.1666667,"X0.5",28.98648148,0.5,28.98648148
188.1875,"X0.5",28.8868518533333,0.5,28.8868518533333
188.2083333,"X0.5",28.6875925933333,0.5,28.6875925933333
188.2291667,"X0.5",28.58851852,0.5,28.58851852
188.25,"X0.5",28.4566666666667,0.5,28.4566666666667
188.2708333,"X0.5",28.3240740733333,0.5,28.3240740733333
188.2916667,"X0.5",28.29111111,0.5,28.29111111
188.3125,"X0.5",28.2248148166667,0.5,28.2248148166667
188.3333333,"X0.5",28.32388889,0.5,28.32388889
188.3541667,"X0.5",28.82222222,0.5,28.82222222
188.375,"X0.5",28.42314815,0.5,28.42314815
188.3958333,"X0.5",29.05574074,0.5,29.05574074
188.4166667,"X0.5",28.5224074066667,0.5,28.5224074066667
188.4375,"X0.5",28.9540740733333,0.5,28.9540740733333
188.4583333,"X0.5",29.4225925933333,0.5,29.4225925933333
188.4791667,"X0.5",29.8264814833333,0.5,29.8264814833333
188.5,"X0.5",30.2327777766667,0.5,30.2327777766667
188.5208333,"X0.5",30.8131481466667,0.5,30.8131481466667
188.5416667,"X0.5",31.7766666666667,0.5,31.7766666666667
188.5625,"X0.5",31.2574074066667,0.5,31.2574074066667
188.5833333,"X0.5",31.91074074,0.5,31.91074074
188.6041667,"X0.5",32.5583333333333,0.5,32.5583333333333
188.625,"X0.5",32.2324074066667,0.5,32.2324074066667
188.6458333,"X0.5",32.0887037033333,0.5,32.0887037033333
188.6666667,"X0.5",31.7337037033333,0.5,31.7337037033333
188.6875,"X0.5",31.8331481466667,0.5,31.8331481466667
188.7083333,"X0.5",31.7944444466667,0.5,31.7944444466667
