"doy_frac","variable","value","temp_depth_m","temp_c"
163.7083333,"X0.25",27.28777778,0.25,27.28777778
163.7291667,"X0.25",27.28777778,0.25,27.28777778
163.75,"X0.25",27.2218518533333,0.25,27.2218518533333
163.7708333,"X0.25",26.92351852,0.25,26.92351852
163.7916667,"X0.25",26.7916666666667,0.25,26.7916666666667
163.8125,"X0.25",26.3968518533333,0.25,26.3968518533333
163.8333333,"X0.25",25.8083333333333,0.25,25.8083333333333
163.8541667,"X0.25",25.5159259266667,0.25,25.5159259266667
163.875,"X0.25",25.2883333333333,0.25,25.2883333333333
163.8958333,"X0.25",25.0611111133333,0.25,25.0611111133333
163.9166667,"X0.25",24.7701851866667,0.25,24.7701851866667
163.9375,"X0.25",24.6416666666667,0.25,24.6416666666667
163.9583333,"X0.25",24.38351852,0.25,24.38351852
163.9791667,"X0.25",24.3190740733333,0.25,24.3190740733333
164,"X0.25",24.1901851866667,0.25,24.1901851866667
164.0208333,"X0.25",23.9975925933333,0.25,23.9975925933333
164.0416667,"X0.25",23.80574074,0.25,23.80574074
164.0625,"X0.25",23.80574074,0.25,23.80574074
164.0833333,"X0.25",23.5166666666667,0.25,23.5166666666667
164.1041667,"X0.25",23.42074074,0.25,23.42074074
164.125,"X0.25",23.2605555566667,0.25,23.2605555566667
164.1458333,"X0.25",23.10111111,0.25,23.10111111
164.1666667,"X0.25",23.0690740733333,0.25,23.0690740733333
164.1875,"X0.25",22.9090740733333,0.25,22.9090740733333
164.2083333,"X0.25",22.7164814833333,0.25,22.7164814833333
164.2291667,"X0.25",22.6844444466667,0.25,22.6844444466667
164.25,"X0.25",22.5255555533333,0.25,22.5255555533333
164.2708333,"X0.25",22.4935185166667,0.25,22.4935185166667
164.2916667,"X0.25",22.7166666666667,0.25,22.7166666666667
164.3125,"X0.25",23.32388889,0.25,23.32388889
164.3333333,"X0.25",23.77314815,0.25,23.77314815
164.3541667,"X0.25",24.1274074066667,0.25,24.1274074066667
164.375,"X0.25",24.5148148133333,0.25,24.5148148133333
164.3958333,"X0.25",25.0001851833333,0.25,25.0001851833333
164.4166667,"X0.25",25.6181481466667,0.25,25.6181481466667
164.4375,"X0.25",26.0425925933333,0.25,26.0425925933333
164.4583333,"X0.25",26.53462963,0.25,26.53462963
164.4791667,"X0.25",26.7651851833333,0.25,26.7651851833333
164.5,"X0.25",27.19425926,0.25,27.19425926
164.5208333,"X0.25",27.5590740733333,0.25,27.5590740733333
164.5416667,"X0.25",28.02462963,0.25,28.02462963
164.5625,"X0.25",27.7888888866667,0.25,27.7888888866667
164.5833333,"X0.25",28.3574074066667,0.25,28.3574074066667
164.6041667,"X0.25",28.8624074066667,0.25,28.8624074066667
164.625,"X0.25",29.2344444433333,0.25,29.2344444433333
164.6458333,"X0.25",29.435,0.25,29.435
164.6666667,"X0.25",29.50351852,0.25,29.50351852
164.6875,"X0.25",29.6044444433333,0.25,29.6044444433333
164.7083333,"X0.25",29.1951851833333,0.25,29.1951851833333
164.7291667,"X0.25",29.2629629633333,0.25,29.2629629633333
164.75,"X0.25",29.3633333333333,0.25,29.3633333333333
164.7708333,"X0.25",29.0233333333333,0.25,29.0233333333333
164.7916667,"X0.25",28.88777778,0.25,28.88777778
164.8125,"X0.25",28.4159259266667,0.25,28.4159259266667
164.8333333,"X0.25",27.7474074066667,0.25,27.7474074066667
164.8541667,"X0.25",27.4151851866667,0.25,27.4151851866667
164.875,"X0.25",26.8866666666667,0.25,26.8866666666667
164.8958333,"X0.25",26.4925925933333,0.25,26.4925925933333
164.9166667,"X0.25",26.1,0.25,26.1
164.9375,"X0.25",25.9044444466667,0.25,25.9044444466667
164.9583333,"X0.25",25.57925926,0.25,25.57925926
164.9791667,"X0.25",25.44925926,0.25,25.44925926
165,"X0.25",25.19,0.25,25.19
165.0208333,"X0.25",25.1251851866667,0.25,25.1251851866667
165.0416667,"X0.25",25.1251851866667,0.25,25.1251851866667
165.0625,"X0.25",24.8025925933333,0.25,24.8025925933333
165.0833333,"X0.25",24.6733333333333,0.25,24.6733333333333
165.1041667,"X0.25",24.60925926,0.25,24.60925926
165.125,"X0.25",24.5444444466667,0.25,24.5444444466667
165.1458333,"X0.25",24.48,0.25,24.48
