"doy_frac","variable","value","temp_depth_m","temp_c"
155.7083333,"X0.25",29.85277778,0.25,29.85277778
155.7291667,"X0.25",30.255,0.25,30.255
155.75,"X0.25",30.35611111,0.25,30.35611111
155.7708333,"X0.25",30.35611111,0.25,30.35611111
155.7916667,"X0.25",30.255,0.25,30.255
155.8125,"X0.25",30.255,0.25,30.255
155.8333333,"X0.25",30.05388889,0.25,30.05388889
155.8541667,"X0.25",29.95277778,0.25,29.95277778
155.875,"X0.25",29.75222222,0.25,29.75222222
155.8958333,"X0.25",29.55222222,0.25,29.55222222
155.9166667,"X0.25",29.35222222,0.25,29.35222222
155.9375,"X0.25",29.05277778,0.25,29.05277778
155.9583333,"X0.25",28.85277778,0.25,28.85277778
155.9791667,"X0.25",28.655,0.25,28.655
156,"X0.25",28.45611111,0.25,28.45611111
156.0208333,"X0.25",28.25777778,0.25,28.25777778
156.0416667,"X0.25",28.06,0.25,28.06
156.0625,"X0.25",27.86222222,0.25,27.86222222
156.0833333,"X0.25",27.76388889,0.25,27.76388889
156.1041667,"X0.25",27.56722222,0.25,27.56722222
156.125,"X0.25",27.46777778,0.25,27.46777778
156.1458333,"X0.25",27.37,0.25,27.37
156.1666667,"X0.25",27.27222222,0.25,27.27222222
156.1875,"X0.25",27.075,0.25,27.075
156.2083333,"X0.25",27.075,0.25,27.075
156.2291667,"X0.25",26.97722222,0.25,26.97722222
156.25,"X0.25",26.87888889,0.25,26.87888889
156.2708333,"X0.25",26.78111111,0.25,26.78111111
156.2916667,"X0.25",26.78111111,0.25,26.78111111
156.3125,"X0.25",26.68277778,0.25,26.68277778
156.3333333,"X0.25",26.78111111,0.25,26.78111111
156.3541667,"X0.25",26.87888889,0.25,26.87888889
156.375,"X0.25",26.97722222,0.25,26.97722222
156.3958333,"X0.25",27.075,0.25,27.075
156.4166667,"X0.25",27.46777778,0.25,27.46777778
156.4375,"X0.25",28.25777778,0.25,28.25777778
156.4583333,"X0.25",28.95277778,0.25,28.95277778
156.4791667,"X0.25",28.85277778,0.25,28.85277778
156.5,"X0.25",28.655,0.25,28.655
156.5208333,"X0.25",28.95277778,0.25,28.95277778
156.5416667,"X0.25",29.55222222,0.25,29.55222222
156.5625,"X0.25",29.55222222,0.25,29.55222222
156.5833333,"X0.25",29.85277778,0.25,29.85277778
156.6041667,"X0.25",30.255,0.25,30.255
156.625,"X0.25",30.15388889,0.25,30.15388889
156.6458333,"X0.25",30.96277778,0.25,30.96277778
156.6666667,"X0.25",30.96277778,0.25,30.96277778
156.6875,"X0.25",30.86222222,0.25,30.86222222
156.7083333,"X0.25",30.96277778,0.25,30.96277778
156.7291667,"X0.25",31.06388889,0.25,31.06388889
156.75,"X0.25",31.16611111,0.25,31.16611111
156.7708333,"X0.25",31.26777778,0.25,31.26777778
156.7916667,"X0.25",31.37,0.25,31.37
156.8125,"X0.25",31.26777778,0.25,31.26777778
156.8333333,"X0.25",31.16611111,0.25,31.16611111
156.8541667,"X0.25",30.86222222,0.25,30.86222222
156.875,"X0.25",30.55777778,0.25,30.55777778
156.8958333,"X0.25",30.255,0.25,30.255
156.9166667,"X0.25",30.05388889,0.25,30.05388889
156.9375,"X0.25",29.75222222,0.25,29.75222222
156.9583333,"X0.25",29.55222222,0.25,29.55222222
156.9791667,"X0.25",29.35222222,0.25,29.35222222
157,"X0.25",29.15222222,0.25,29.15222222
