"datetime"	"wnd"
2020-05-28 02:00:00	1.041729996
2020-05-28 03:00:00	0.848337059
2020-05-28 04:00:00	1.270013411
2020-05-28 05:00:00	0.999861422
2020-05-28 06:00:00	0.857308896
2020-05-28 07:00:00	1.428515869
2020-05-28 08:00:00	2.52607063
2020-05-28 09:00:00	3.286683058
2020-05-28 10:00:00	4.010411265
2020-05-28 11:00:00	3.555838176
2020-05-28 12:00:00	4.353334823
2020-05-28 13:00:00	4.44803755
2020-05-28 14:00:00	3.826987036
2020-05-28 15:00:00	4.419128297
2020-05-28 16:00:00	4.011408136
2020-05-28 17:00:00	4.094148413
2020-05-28 18:00:00	2.933790791
2020-05-28 19:00:00	1.554121591
2020-05-28 20:00:00	0.215324095
2020-05-28 21:00:00	0.641984801
2020-05-28 22:00:00	1.055686187
2020-05-28 23:00:00	1.655802414
2020-05-29 00:00:00	1.596987036
2020-05-29 01:00:00	2.257912383
2020-05-29 02:00:00	1.420540903
2020-05-29 03:00:00	1.319856951
2020-05-29 04:00:00	1.587018328
2020-05-29 05:00:00	1.077617345
2020-05-29 06:00:00	1.703652213
2020-05-29 07:00:00	1.493312472
2020-05-29 08:00:00	2.716472955
2020-05-29 09:00:00	3.636584712
2020-05-29 10:00:00	3.945614662
2020-05-29 11:00:00	4.040317389
2020-05-29 12:00:00	4.552708985
2020-05-29 13:00:00	4.500871703
2020-05-29 14:00:00	4.056267322
2020-05-29 15:00:00	4.010411265
2020-05-29 16:00:00	3.162074207
2020-05-29 17:00:00	3.193974072
2020-05-29 18:00:00	3.419266875
2020-05-29 19:00:00	3.038462226
2020-05-29 20:00:00	2.603826553
2020-05-29 21:00:00	0.819427805
2020-05-29 22:00:00	0.902168082
2020-05-29 23:00:00	0.730706303
2020-05-30 00:00:00	0.626034868
2020-05-30 01:00:00	0.404729549
2020-05-30 02:00:00	0.348904783
2020-05-30 03:00:00	0.318001788
2020-05-30 04:00:00	0.414698257
2020-05-30 05:00:00	0.071774698
2020-05-30 06:00:00	0.148533751
2020-05-30 07:00:00	0.372829683
2020-05-30 08:00:00	0.734693786
2020-05-30 09:00:00	0.906155565
2020-05-30 10:00:00	1.963835494
2020-05-30 11:00:00	2.255918641
2020-05-30 12:00:00	2.325699598
2020-05-30 13:00:00	2.565945463
2020-05-30 14:00:00	2.416414841
2020-05-30 15:00:00	1.982776039
2020-05-30 16:00:00	2.250934287
2020-05-30 17:00:00	1.931935628
2020-05-30 18:00:00	1.702655342
2020-05-30 19:00:00	1.254063478
2020-05-30 20:00:00	0.534322754
2020-05-30 21:00:00	0.215324095
2020-05-30 22:00:00	0.203361645
2020-05-30 23:00:00	0.028909253
2020-05-31 00:00:00	0.427657577
2020-05-31 01:00:00	0.353889137
2020-05-31 02:00:00	0.097693339
2020-05-31 03:00:00	0.482485472
2020-05-31 04:00:00	1.036745641
2020-05-31 05:00:00	1.690692892
2020-05-31 06:00:00	1.92196692
2020-05-31 07:00:00	1.87312025
2020-05-31 08:00:00	1.878104604
2020-05-31 09:00:00	2.54999553
2020-05-31 10:00:00	3.401323201
2020-05-31 11:00:00	3.306620474
2020-05-31 12:00:00	3.519950827
2020-05-31 13:00:00	3.212914618
2020-05-31 14:00:00	3.253786321
2020-05-31 15:00:00	3.31459544
2020-05-31 16:00:00	3.192977202
2020-05-31 17:00:00	3.594716138
2020-05-31 18:00:00	3.635587841
2020-05-31 19:00:00	3.706365668
2020-05-31 20:00:00	4.034336165
2020-05-31 21:00:00	3.420263746
2020-05-31 22:00:00	2.806191328
2020-05-31 23:00:00	2.231993742
2020-06-01 00:00:00	2.426383549
2020-06-01 01:00:00	3.282695574
2020-06-01 02:00:00	2.829119356
2020-06-01 03:00:00	2.359593205
2020-06-01 04:00:00	2.7354135
2020-06-01 05:00:00	3.298645507
2020-06-01 06:00:00	3.784121591
2020-06-01 07:00:00	4.180876173
2020-06-01 08:00:00	3.393348234
2020-06-01 09:00:00	2.522083147
2020-06-01 10:00:00	3.354470273
2020-06-01 11:00:00	4.664358516
2020-06-01 12:00:00	5.881537774
2020-06-01 13:00:00	5.703097899
2020-06-01 14:00:00	5.838672329
2020-06-01 15:00:00	6.454738489
2020-06-01 16:00:00	6.343088958
2020-06-01 17:00:00	6.207514528
2020-06-01 18:00:00	5.385096111
2020-06-01 19:00:00	4.538752794
2020-06-01 20:00:00	3.556835047
2020-06-01 21:00:00	3.440201162
2020-06-01 22:00:00	3.107246312
2020-06-01 23:00:00	3.678453286
2020-06-02 00:00:00	4.390219043
2020-06-02 01:00:00	4.228725972
2020-06-02 02:00:00	4.333397407
2020-06-02 03:00:00	4.169910595
2020-06-02 04:00:00	3.469110416
