DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
08/07/20,10:55:33 AM,B1,,0.00000 °,0.00000 °,735.3,369.2,374.3,0.18,374.9,243,75.7,-2.6,-2.6,2.97,12.01,0.3,0.08,85,7.11,87.9,16.29,-609.7,0.002,0.001,0.001
08/07/20,10:55:33 AM,B1,,0.00000 °,0.00000 °,735.3,369.2,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.94,11.91,0.29,0.07,85,7.11,87.8,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:33 AM,B1,,0.00000 °,0.00000 °,735.3,369.2,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.94,11.91,0.29,0.07,85,7.11,87.8,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:33 AM,B1,,0.00000 °,0.00000 °,735.2,369.1,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.95,11.94,0.29,0.08,85,7.11,87.8,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:34 AM,B1,,0.00000 °,0.00000 °,735.2,369.1,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.95,11.94,0.29,0.08,85,7.11,87.8,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:34 AM,B1,,0.00000 °,0.00000 °,735.2,369.1,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.98,12.05,0.29,0.07,84.9,7.1,87.8,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:34 AM,B1,,0.00000 °,0.00000 °,735.2,369.1,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.98,12.05,0.29,0.07,84.9,7.1,87.8,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:34 AM,B1,,0.00000 °,0.00000 °,735.2,369.1,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.99,12.07,0.28,0.07,84.9,7.1,87.7,16.29,-609.7,0.002,0.001,0.001
08/07/20,10:55:35 AM,B1,,0.00000 °,0.00000 °,735.2,369.1,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.99,12.07,0.28,0.07,84.9,7.1,87.7,16.29,-609.7,0.002,0.001,0.001
08/07/20,10:55:35 AM,B1,,0.00000 °,0.00000 °,735.2,369,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.99,12.08,0.29,0.08,84.9,7.1,87.7,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:35 AM,B1,,0.00000 °,0.00000 °,735.2,369,374.3,0.18,374.8,243,75.7,-2.6,-2.6,2.99,12.08,0.29,0.08,84.9,7.1,87.7,16.29,-609.7,0.002,0.001,0
08/07/20,10:55:35 AM,B1,,0.00000 °,0.00000 °,735.2,368.9,374.4,0.18,374.9,243,75.6,-2.6,-2.6,2.97,12.03,0.3,0.08,84.8,7.1,87.7,16.29,-609.7,0.002,0.001,0.002
08/07/20,10:55:36 AM,B1,,0.00000 °,0.00000 °,735.2,368.9,374.4,0.18,374.9,243,75.6,-2.6,-2.6,2.97,12.03,0.3,0.08,84.8,7.1,87.7,16.29,-609.7,0.002,0.001,0.002
08/07/20,10:55:36 AM,B1,,0.00000 °,0.00000 °,735.2,368.8,374.8,0.18,375.4,244,75.5,-2.6,-2.6,2.97,12,0.3,0.08,84.8,7.1,87.6,16.29,-609.7,0.002,0.001,0.002
08/07/20,10:55:36 AM,B1,,0.00000 °,0.00000 °,735.2,368.8,374.8,0.18,375.4,244,75.5,-2.6,-2.6,2.97,12,0.3,0.08,84.8,7.1,87.6,16.29,-609.7,0.002,0.001,0.002
08/07/20,10:55:36 AM,B1,,0.00000 °,0.00000 °,735.2,368.7,382.9,0.18,384.3,249,73.4,-2.3,-2.3,2.97,12.01,0.31,0.09,84.7,7.1,87.6,16.29,-609.7,0.002,0.001,0.001
08/07/20,10:55:37 AM,B1,,0.00000 °,0.00000 °,735.2,368.7,382.9,0.18,384.3,249,73.4,-2.3,-2.3,2.97,12.01,0.31,0.09,84.7,7.1,87.6,16.29,-609.7,0.002,0.001,0.001
08/07/20,10:55:37 AM,B1,,0.00000 °,0.00000 °,735.2,368.5,384.8,0.18,386.4,250,73,-2.3,-2.3,2.96,11.96,0.32,0.09,84.6,7.25,87.5,16.33,-609.7,0.002,0.001,0.002
08/07/20,10:55:37 AM,B1,,0.00000 °,0.00000 °,735.2,368.5,384.8,0.18,386.4,250,73,-2.3,-2.3,2.96,11.96,0.32,0.09,84.6,7.25,87.5,16.33,-609.7,0.002,0.001,0.002
08/07/20,10:55:37 AM,B1,,0.00000 °,0.00000 °,735.2,368.4,385.1,0.18,386.8,250,72.9,-2.3,-2.3,2.94,11.89,0.32,0.1,84.6,7.27,87.5,16.33,-609.7,0.002,0.001,0.001
08/07/20,10:55:38 AM,B1,,0.00000 °,0.00000 °,735.2,368.4,385.1,0.18,386.8,250,72.9,-2.3,-2.3,2.94,11.89,0.32,0.1,84.6,7.27,87.5,16.33,-609.7,0.002,0.001,0.001
08/07/20,10:55:38 AM,B1,,0.00000 °,0.00000 °,735.2,368.3,385.5,0.18,387.2,251,72.8,-2.2,-2.2,2.91,11.76,0.32,0.1,84.6,7.28,87.4,16.33,-609.7,0.002,0.001,0.006
08/07/20,10:55:38 AM,B1,,0.00000 °,0.00000 °,735.2,368.2,385.5,0.18,387.2,251,72.8,-2.2,-2.2,2.28,9.27,0.33,0.1,84.5,7.29,87.4,16.34,-609.7,0.002,0.001,0.013
08/07/20,10:55:38 AM,B1,,0.00000 °,0.00000 °,735.3,368.2,385.5,0.18,387.3,251,72.7,-2.2,-2.2,2.39,9.72,0.33,0.1,84.5,7.29,87.3,16.34,-609.7,0.002,0.001,0.031
08/07/20,10:55:39 AM,B1,,0.00000 °,0.00000 °,735.3,368.2,385.5,0.18,387.3,251,72.7,-2.2,-2.2,2.39,9.72,0.33,0.1,84.5,7.29,87.3,16.34,-609.7,0.002,0.001,0.031
08/07/20,10:55:39 AM,B1,,0.00000 °,0.00000 °,735.3,368.1,386,0.18,387.7,251,72.6,-2.2,-2.2,2.31,9.4,0.26,0.06,84.4,7.28,87.3,16.34,-609.7,0.003,0.002,0.051
08/07/20,10:55:39 AM,B1,,0.00000 °,0.00000 °,735.3,368.1,386,0.18,387.7,251,72.6,-2.2,-2.2,2.41,9.79,0.25,0.05,84.4,7.28,87.2,16.34,-609.7,0.004,0.003,0.07
08/07/20,10:55:39 AM,B1,,0.00000 °,0.00000 °,735.2,368,386,0.18,387.8,251,72.6,-2.2,-2.2,2.09,8.52,0.25,0.05,84.3,7.28,87.2,16.34,-609.7,0.004,0.003,0.079
08/07/20,10:55:40 AM,B1,,0.00000 °,0.00000 °,735.2,368,386,0.18,387.8,251,72.6,-2.2,-2.2,2.09,8.52,0.25,0.05,84.3,7.28,87.2,16.34,-609.7,0.004,0.003,0.079
08/07/20,10:55:40 AM,B1,,0.00000 °,0.00000 °,735.2,367.8,385.9,0.18,387.7,251,72.6,-2.2,-2.2,2.12,8.65,0.24,0.04,84.2,7.28,87.1,16.34,-609.7,0.006,0.004,0.095
08/07/20,10:55:40 AM,B1,,0.00000 °,0.00000 °,735.2,367.8,385.9,0.18,387.7,251,72.6,-2.2,-2.2,2.12,8.65,0.24,0.04,84.2,7.28,87.1,16.34,-609.7,0.006,0.004,0.095
08/07/20,10:55:40 AM,B1,,0.00000 °,0.00000 °,735.3,367.6,385.9,0.18,387.7,251,72.5,-2.2,-2.2,2.1,8.59,0.21,0.03,84.2,7.28,87,16.34,-609.7,0.008,0.006,0.114
08/07/20,10:55:41 AM,B1,,0.00000 °,0.00000 °,735.3,367.6,385.9,0.18,387.7,251,72.5,-2.2,-2.2,2.1,8.59,0.21,0.03,84.2,7.28,87,16.34,-609.7,0.008,0.006,0.114
08/07/20,10:55:41 AM,B1,,0.00000 °,0.00000 °,735.3,367.5,385.8,0.18,387.6,251,72.5,-2.2,-2.2,2.11,8.62,0.2,0.02,84.1,7.27,86.9,16.34,-609.7,0.011,0.008,0.133
08/07/20,10:55:41 AM,B1,,0.00000 °,0.00000 °,735.3,367.5,385.8,0.18,387.6,251,72.5,-2.2,-2.2,2.11,8.62,0.2,0.02,84.1,7.27,86.9,16.34,-609.7,0.011,0.008,0.133
08/07/20,10:55:41 AM,B1,,0.00000 °,0.00000 °,735.2,367.4,385.8,0.18,387.6,251,72.5,-2.2,-2.2,2.15,8.76,0.2,0.02,84,7.27,86.9,16.34,-609.7,0.013,0.009,0.148
08/07/20,10:55:42 AM,B1,,0.00000 °,0.00000 °,735.2,367.4,385.8,0.18,387.6,251,72.5,-2.2,-2.2,2.15,8.76,0.2,0.02,84,7.27,86.9,16.34,-609.7,0.013,0.009,0.148
08/07/20,10:55:42 AM,B1,,0.00000 °,0.00000 °,735.2,367.2,385.7,0.18,387.5,251,72.5,-2.2,-2.2,2.1,8.58,0.2,0.02,84,7.27,86.8,16.34,-609.7,0.017,0.012,0.178
08/07/20,10:55:42 AM,B1,,0.00000 °,0.00000 °,735.2,367.2,385.7,0.18,387.5,251,72.5,-2.2,-2.2,2.1,8.58,0.2,0.02,84,7.27,86.8,16.34,-609.7,0.017,0.012,0.178
08/07/20,10:55:42 AM,B1,,0.00000 °,0.00000 °,735.2,367,385.7,0.18,387.5,251,72.4,-2.2,-2.2,1.36,5.66,0.19,0.01,83.9,7.26,86.7,16.34,-609.7,0.021,0.015,0.208
08/07/20,10:55:43 AM,B1,,0.00000 °,0.00000 °,735.2,366.9,385.7,0.18,387.5,251,72.4,-2.2,-2.2,1.4,5.81,0.19,0.01,83.9,7.26,86.7,16.34,-609.7,0.023,0.016,0.217
08/07/20,10:55:43 AM,B1,,0.00000 °,0.00000 °,735.2,366.9,385.7,0.18,387.6,251,72.4,-2.2,-2.2,1.52,6.31,0.18,0.01,83.9,7.26,86.7,16.34,-609.7,0.024,0.017,0.227
08/07/20,10:55:43 AM,B1,,0.00000 °,0.00000 °,735.2,366.9,385.7,0.18,387.6,251,72.4,-2.2,-2.2,1.52,6.31,0.18,0.01,83.9,7.26,86.7,16.34,-609.7,0.024,0.017,0.227
08/07/20,10:55:43 AM,B1,,0.00000 °,0.00000 °,735.3,366.7,385.8,0.18,387.7,251,72.4,-2.2,-2.2,1.46,6.06,0.18,0,83.8,7.26,86.6,16.34,-609.7,0.03,0.021,0.26
08/07/20,10:55:44 AM,B1,,0.00000 °,0.00000 °,735.3,366.7,385.8,0.18,387.7,251,72.4,-2.2,-2.2,1.46,6.06,0.18,0,83.8,7.26,86.6,16.34,-609.7,0.03,0.021,0.26
08/07/20,10:55:44 AM,B1,,0.00000 °,0.00000 °,735.3,366.5,385.8,0.18,387.7,251,72.3,-2.2,-2.2,0.96,4.07,0.17,0,83.7,7.26,86.5,16.34,-609.7,0.034,0.024,0.278
08/07/20,10:55:44 AM,B1,,0.00000 °,0.00000 °,735.3,366.5,385.8,0.18,387.7,251,72.3,-2.2,-2.2,0.96,4.07,0.17,0,83.7,7.26,86.5,16.34,-609.7,0.034,0.024,0.278
08/07/20,10:55:44 AM,B1,,0.00000 °,0.00000 °,735.2,366.3,385.8,0.18,387.7,251,72.2,-2.2,-2.2,1.04,4.4,0.16,-0.01,83.7,7.25,86.5,16.34,-609.7,0.041,0.029,0.305
08/07/20,10:55:45 AM,B1,,0.00000 °,0.00000 °,735.2,366.3,385.8,0.18,387.7,251,72.2,-2.2,-2.2,1.04,4.4,0.16,-0.01,83.7,7.25,86.5,16.34,-609.7,0.041,0.029,0.305
08/07/20,10:55:45 AM,B1,,0.00000 °,0.00000 °,735.2,366,385.7,0.18,387.7,251,72.2,-2.2,-2.2,0.9,3.84,0.14,-0.02,83.6,7.25,86.4,16.35,-609.7,0.048,0.034,0.334
08/07/20,10:55:45 AM,B1,,0.00000 °,0.00000 °,735.2,366,385.7,0.18,387.7,251,72.2,-2.2,-2.2,0.9,3.84,0.14,-0.02,83.6,7.25,86.4,16.35,-609.7,0.048,0.034,0.334
08/07/20,10:55:45 AM,B1,,0.00000 °,0.00000 °,735.2,365.8,385.6,0.18,387.6,251,72.2,-2.2,-2.2,0.94,4.01,0.14,-0.02,83.5,7.25,86.4,16.35,-609.7,0.053,0.037,0.356
