DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
7/10/2020,10:47:02 AM,B1,,89.99999 °,179.99998 °,735.2,341.8,323.4,0.15,321.4,210,82.4,-3.6,-3.6,1.09,4.57,-0.13,-0.2,77.1,6.03,79.7,16.17,-609.7,-0.001,-0.001,-0.002
7/10/2020,10:47:02 AM,B1,,89.99999 °,179.99998 °,735.2,342.1,323.7,0.15,321.7,210,82.4,-3.6,-3.6,1.09,4.57,-0.13,-0.2,77.1,6.03,79.7,16.17,-609.7,-0.001,-0.001,0
7/10/2020,10:47:02 AM,B1,,89.99999 °,179.99998 °,735.2,342.2,323.8,0.15,321.8,210,82.4,-3.6,-3.6,1.09,4.57,-0.13,-0.19,77.1,6.03,79.7,16.17,-609.7,-0.001,-0.001,0
7/10/2020,10:47:02 AM,B1,,89.99999 °,179.99998 °,735.2,342.3,323.8,0.15,321.8,211,82.4,-3.6,-3.6,1.09,4.58,-0.13,-0.2,77,6.03,79.7,16.17,-609.7,-0.001,-0.001,0.001
7/10/2020,10:47:03 AM,B1,,89.99999 °,179.99998 °,735.2,342.4,323.9,0.15,321.9,211,82.4,-3.6,-3.6,1.08,4.55,-0.13,-0.19,77,6.03,79.6,16.17,-609.7,-0.001,-0.001,-0.001
7/10/2020,10:47:03 AM,B1,,89.99999 °,179.99998 °,735.2,342.4,323.9,0.15,321.9,211,82.4,-3.6,-3.6,1.08,4.56,-0.13,-0.19,77,6.02,79.6,16.17,-609.7,-0.001,-0.001,-0.001
7/10/2020,10:47:03 AM,B1,,89.99999 °,179.99998 °,735.2,342.5,323.9,0.15,321.9,211,82.4,-3.6,-3.6,1.08,4.53,-0.12,-0.19,77,6.02,79.6,16.17,-609.7,-0.001,-0.001,0
7/10/2020,10:47:03 AM,B1,,89.99999 °,179.99998 °,735.2,342.4,323.9,0.15,321.9,211,82.4,-3.6,-3.6,1.08,4.56,-0.13,-0.19,77,6.02,79.6,16.17,-609.7,-0.001,-0.001,-0.001
7/10/2020,10:47:04 AM,B1,,89.99999 °,179.99998 °,735.2,342.4,323.9,0.15,321.9,211,82.4,-3.6,-3.6,1.09,4.58,-0.13,-0.19,77,6.02,79.6,16.17,-609.7,-0.001,-0.001,0
7/10/2020,10:47:04 AM,B1,,89.99999 °,179.99998 °,735.1,342.4,323.8,0.15,321.8,211,82.4,-3.6,-3.6,1.08,4.56,-0.13,-0.19,76.9,6.02,79.5,16.17,-609.7,-0.001,-0.001,0.001
