DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
8/15/2020,12:25:42 PM,B1,,0.00000 °,0.00000 °,736.4,392.7,367.8,0.17,365,239,83.4,-3.8,-3.8,0.77,3.33,0.08,-0.06,97.8,7.57,101,16.15,-609.7,0.001,0.001,0.002
8/15/2020,12:25:42 PM,B1,,0.00000 °,0.00000 °,736.4,393.1,368.2,0.17,365.5,239,83.4,-3.8,-3.8,0.79,3.38,0.08,-0.06,97.8,7.58,101,16.15,-609.7,0.001,0.001,0.002
8/15/2020,12:25:42 PM,B1,,0.00000 °,0.00000 °,736.4,393.4,368.7,0.17,366,240,83.3,-3.8,-3.8,0.79,3.41,0.07,-0.07,97.8,7.58,101,16.15,-609.7,0.001,0.001,0.002
8/15/2020,12:25:42 PM,B1,,0.00000 °,0.00000 °,736.4,393.8,369.3,0.17,366.6,240,83.2,-3.8,-3.8,0.79,3.41,0.07,-0.06,97.8,7.58,101,16.15,-609.7,0.001,0.001,0.002
8/15/2020,12:25:43 PM,B1,,0.00000 °,0.00000 °,736.4,394.1,369.6,0.17,367,240,83.2,-3.8,-3.8,0.78,3.37,0.07,-0.07,97.8,7.58,101,16.15,-609.7,0.001,0.001,0.002
8/15/2020,12:25:43 PM,B1,,0.00000 °,0.00000 °,736.4,394.3,370,0.18,367.3,240,83.2,-3.8,-3.8,0.78,3.37,0.06,-0.07,97.8,7.59,101,16.16,-609.7,0.001,0.001,0.003
8/15/2020,12:25:43 PM,B1,,0.00000 °,0.00000 °,736.5,394.3,370,0.18,367.3,240,83.2,-3.8,-3.8,0.78,3.37,0.06,-0.07,97.8,7.59,101,16.16,-609.7,0.001,0.001,0.003
8/15/2020,12:25:43 PM,B1,,0.00000 °,0.00000 °,736.5,394.6,370.6,0.18,368,241,83.1,-3.7,-3.7,0.78,3.38,0.06,-0.07,97.8,7.59,101,16.16,-609.7,0.001,0.001,0.001
8/15/2020,12:25:44 PM,B1,,0.00000 °,0.00000 °,736.5,394.7,370.9,0.18,368.3,241,83.1,-3.7,-3.7,0.78,3.37,0.07,-0.07,97.8,7.59,100.9,16.16,-609.7,0.001,0.001,0.001
8/15/2020,12:25:44 PM,B1,,0.00000 °,0.00000 °,736.4,394.7,370.9,0.18,368.3,241,83.1,-3.7,-3.7,0.78,3.36,0.07,-0.07,97.8,7.59,100.9,16.16,-609.7,0.001,0.001,0.004
8/15/2020,12:25:44 PM,B1,,0.00000 °,0.00000 °,736.4,394.9,371.2,0.18,368.7,241,83,-3.7,-3.7,0.76,3.28,0.06,-0.07,97.7,7.59,100.9,16.16,-609.7,0.001,0.001,0.002
8/15/2020,12:25:44 PM,B1,,0.00000 °,0.00000 °,736.4,394.9,371.2,0.18,368.7,241,83,-3.7,-3.7,0.76,3.28,0.06,-0.07,97.7,7.59,100.9,16.16,-609.7,0.001,0.001,0.002
