DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
8/21/2020,10:48:51 AM,B1,,0.00000 °,0.00000 °,732.4,392.2,385.2,0.18,384.4,250,78.7,-3.1,-3.1,1.01,4.28,0.06,-0.07,79.8,6.47,82.8,16.23,-609.7,0.005,0.004,0.003
8/21/2020,10:48:51 AM,B1,,0.00000 °,0.00000 °,732.4,392.3,385.3,0.18,384.6,250,78.7,-3.1,-3.1,1,4.25,0.06,-0.07,79.8,6.47,82.8,16.23,-609.7,0.005,0.004,0.003
8/21/2020,10:48:51 AM,B1,,0.00000 °,0.00000 °,732.4,392.3,385.3,0.18,384.6,250,78.7,-3.1,-3.1,1,4.25,0.06,-0.07,79.8,6.47,82.8,16.23,-609.7,0.005,0.004,0.005
8/21/2020,10:48:51 AM,B1,,0.00000 °,0.00000 °,732.5,392.4,385.6,0.18,384.9,251,78.7,-3.1,-3.1,1.01,4.26,0.06,-0.07,79.8,6.47,82.8,16.23,-609.7,0.005,0.004,0.005
8/21/2020,10:48:52 AM,B1,,0.00000 °,0.00000 °,732.5,392.4,385.6,0.18,384.9,251,78.7,-3.1,-3.1,0.63,2.79,0.06,-0.07,79.8,6.47,82.8,16.23,-609.7,0.005,0.004,0.005
8/21/2020,10:48:52 AM,B1,,0.00000 °,0.00000 °,732.5,392.6,385.8,0.18,385.1,251,78.6,-3.1,-3.1,0.73,3.16,0.06,-0.07,79.7,6.47,82.7,16.23,-609.7,0.005,0.004,0.006
8/21/2020,10:48:52 AM,B1,,0.00000 °,0.00000 °,732.5,392.8,386.2,0.18,385.5,251,78.6,-3,-3,0.75,3.23,0.06,-0.07,79.7,6.47,82.7,16.23,-609.7,0.005,0.004,0.003
8/21/2020,10:48:52 AM,B1,,0.00000 °,0.00000 °,732.5,392.9,386.5,0.18,385.8,251,78.6,-3,-3,0.73,3.15,0.07,-0.07,79.6,6.47,82.6,16.23,-609.7,0.005,0.004,0.006
8/21/2020,10:48:53 AM,B1,,0.00000 °,0.00000 °,732.5,392.9,386.5,0.18,385.8,251,78.6,-3,-3,0.73,3.15,0.07,-0.07,79.6,6.47,82.6,16.23,-609.7,0.005,0.004,0.006
8/21/2020,10:48:53 AM,B1,,0.00000 °,0.00000 °,732.5,393,386.7,0.18,386,251,78.5,-3,-3,0.49,2.23,0.06,-0.07,79.6,6.46,82.6,16.24,-609.7,0.005,0.004,0.005
