DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
8/15/2020,11:05:12 AM,F1,,0.00000 °,0.00000 °,736.5,375.7,372.4,0.18,372.1,242,77.8,-2.9,-2.9,0.24,1.21,-0.22,-0.25,97.6,7.99,100.7,16.25,-609.7,0.002,0.002,0.005
8/15/2020,11:05:12 AM,F1,,0.00000 °,0.00000 °,736.5,375.7,372.4,0.18,372.1,242,77.8,-2.9,-2.9,0.23,1.2,-0.22,-0.25,97.6,7.99,100.7,16.25,-609.7,0.002,0.001,0.003
8/15/2020,11:05:12 AM,F1,,0.00000 °,0.00000 °,736.5,375.7,372.4,0.18,372.1,242,77.8,-2.9,-2.9,0.23,1.2,-0.23,-0.26,97.6,7.99,100.7,16.25,-609.7,0.002,0.002,0.003
8/15/2020,11:05:12 AM,F1,,0.00000 °,0.00000 °,736.5,375.7,372.4,0.18,372.1,242,77.8,-2.9,-2.9,0.23,1.18,-0.23,-0.26,97.6,7.99,100.7,16.25,-609.7,0.002,0.002,0.004
8/15/2020,11:05:13 AM,F1,,0.00000 °,0.00000 °,736.4,375.7,372.4,0.18,372.1,242,77.8,-2.9,-2.9,0.22,1.17,-0.23,-0.26,97.5,7.98,100.7,16.25,-609.7,0.002,0.001,0.001
8/15/2020,11:05:13 AM,F1,,0.00000 °,0.00000 °,736.4,375.8,372.4,0.18,372,242,77.9,-2.9,-2.9,0.23,1.18,-0.23,-0.26,97.5,7.98,100.6,16.25,-609.7,0.002,0.001,0.001
8/15/2020,11:05:13 AM,F1,,0.00000 °,0.00000 °,736.4,375.7,372.3,0.18,372,242,77.9,-2.9,-2.9,0.22,1.17,-0.23,-0.26,97.5,7.98,100.6,16.25,-609.7,0.002,0.001,0.002
8/15/2020,11:05:13 AM,F1,,0.00000 °,0.00000 °,736.4,375.7,372.3,0.18,371.9,242,77.9,-2.9,-2.9,0.23,1.18,-0.23,-0.26,97.5,7.98,100.6,16.25,-609.7,0.002,0.001,0.001
8/15/2020,11:05:14 AM,F1,,0.00000 °,0.00000 °,736.5,375.7,372.2,0.18,371.8,242,77.9,-2.9,-2.9,0.22,1.16,-0.23,-0.26,97.4,7.97,100.5,16.25,-609.7,0.002,0.001,0.001
8/15/2020,11:05:14 AM,F1,,0.00000 °,0.00000 °,736.5,375.6,372.1,0.18,371.7,242,77.9,-2.9,-2.9,0.22,1.17,-0.22,-0.25,97.4,7.97,100.5,16.25,-609.7,0.002,0.001,0.003
8/15/2020,11:05:14 AM,F1,,0.00000 °,0.00000 °,736.5,375.6,372,0.18,371.6,242,77.9,-2.9,-2.9,0.23,1.18,-0.22,-0.25,97.4,7.97,100.5,16.25,-609.7,0.002,0.002,0.004
8/15/2020,11:05:14 AM,F1,,0.00000 °,0.00000 °,736.5,375.5,371.8,0.18,371.4,242,77.9,-3,-3,0.23,1.19,-0.23,-0.26,97.4,7.96,100.5,16.25,-609.7,0.002,0.002,0.004
8/15/2020,11:05:15 AM,F1,,0.00000 °,0.00000 °,736.4,375.5,371.7,0.18,371.3,242,78,-3,-3,0.23,1.19,-0.23,-0.26,97.3,7.96,100.5,16.25,-609.7,0.002,0.002,0.004
