"doy","pond","site_id","vertical_m","odo_mgL","odo_sat","temp_c","barometer","sp_cond","tds","chla_RFU","chla_ugL","pc_RFU","pc_ugL"
150,"B","B1",0.71,12.53,145.1,22.6111111111111,737.9,270.9,176,1.38,5.72,-0.18,-0.23
150,"B","B1",0.72,12.53,145.1,22.6111111111111,737.9,271,176,1.39,5.77,-0.18,-0.23
150,"B","B1",0.74,12.53,145.1,22.5555555555556,737.9,271,176,1.4,5.82,-0.18,-0.23
150,"B","B1",0.751,12.53,145.1,22.5555555555556,737.9,271,176,1.43,5.92,-0.18,-0.23
150,"B","B1",0.76,12.54,145.1,22.5555555555556,737.9,271.1,176,1.44,5.97,-0.18,-0.23
150,"B","B1",0.775,12.54,145,22.5,737.9,271.1,176,1.45,6.02,-0.18,-0.23
150,"B","B1",0.798,12.54,145,22.5,737.9,271.1,176,1.47,6.09,-0.18,-0.23
150,"B","B1",0.806,12.54,145,22.5,737.9,271.2,176,1.49,6.16,-0.17,-0.22
150,"B","B1",0.827,12.55,145,22.5,737.9,271.3,176,1.5,6.19,-0.17,-0.22
150,"B","B1",0.837,12.55,145,22.4444444444444,737.9,271.3,176,1.51,6.25,-0.17,-0.22
150,"B","B1",0.844,12.55,145,22.4444444444444,737.9,271.3,176,1.53,6.31,-0.16,-0.22
150,"B","B1",0.851,12.56,145,22.4444444444444,737.9,271.4,176,1.55,6.41,-0.16,-0.22
150,"B","B1",0.869,12.56,145,22.3888888888889,737.9,271.4,176,1.57,6.47,-0.16,-0.21
150,"B","B1",0.879,12.56,144.9,22.3888888888889,737.9,271.5,176,1.58,6.52,-0.16,-0.21
150,"B","B1",0.886,12.57,144.9,22.3888888888889,737.9,271.6,177,1.59,6.57,-0.16,-0.22
150,"B","B1",0.903,12.57,144.9,22.3333333333333,737.9,271.6,177,1.62,6.69,-0.16,-0.21
150,"B","B1",0.916,12.57,144.9,22.3333333333333,737.9,271.7,177,1.64,6.74,-0.15,-0.21
150,"B","B1",0.922,12.58,144.9,22.3333333333333,737.9,271.7,177,1.65,6.79,-0.15,-0.21
150,"B","B1",0.95,12.58,144.9,22.3333333333333,737.9,271.8,177,1.66,6.85,-0.15,-0.21
150,"B","B1",0.95,12.58,144.9,22.2777777777778,737.9,271.8,177,1.69,6.96,-0.15,-0.21
150,"B","B1",0.965,12.59,144.9,22.2777777777778,737.9,271.9,177,1.71,7.03,-0.14,-0.2
150,"B","B1",0.983,12.59,144.9,22.2777777777778,737.9,271.9,177,1.72,7.08,-0.15,-0.21
150,"B","B1",0.983,12.59,144.9,22.2222222222222,737.9,272,177,1.74,7.15,-0.15,-0.21
150,"B","B1",0.992,12.6,144.9,22.2222222222222,737.9,272,177,1.77,7.25,-0.14,-0.2
150,"B","B1",1.02,12.6,144.9,22.2222222222222,737.9,272.1,177,1.77,7.28,-0.14,-0.2
150,"B","B1",1.02,12.6,144.9,22.2222222222222,737.9,272.2,177,1.78,7.33,-0.14,-0.2
150,"B","B1",1.031,12.6,144.9,22.1666666666667,737.9,272.4,177,1.8,7.39,-0.14,-0.2
150,"B","B1",1.053,12.61,144.9,22.1666666666667,737.9,272.4,177,1.83,7.52,-0.13,-0.2
150,"B","B1",1.062,12.61,144.9,22.1666666666667,737.9,272.6,177,1.85,7.57,-0.12,-0.19
150,"B","B1",1.066,12.61,144.9,22.1666666666667,738,272.7,177,1.86,7.64,-0.12,-0.19
150,"B","B1",1.066,12.62,144.9,22.1111111111111,738,272.9,177,1.88,7.7,-0.12,-0.19
150,"B","B1",1.092,12.62,144.9,22.1111111111111,738,273.1,177,1.91,7.83,-0.12,-0.19
150,"B","B1",1.096,12.62,144.8,22.1111111111111,738,273.4,178,1.93,7.89,-0.11,-0.18
150,"B","B1",1.096,12.63,144.8,22.1111111111111,737.9,273.7,178,1.94,7.94,-0.11,-0.18
150,"B","B1",1.104,12.63,144.8,22.0555555555556,737.9,274.1,178,1.95,7.98,-0.11,-0.18
150,"B","B1",1.118,12.63,144.8,22.0555555555556,737.9,274.3,178,1.97,8.04,-0.11,-0.18
150,"B","B1",1.126,12.64,144.8,22.0555555555556,737.9,274.7,179,1.98,8.11,-0.11,-0.18
150,"B","B1",1.139,12.64,144.8,22,737.9,275.1,179,2,8.17,-0.1,-0.18
150,"B","B1",1.139,12.64,144.8,22,737.9,275.6,179,2.61,10.58,-0.1,-0.17
150,"B","B1",1.154,12.65,144.8,22,737.9,276.1,179,3.64,14.67,-0.09,-0.17
150,"B","B1",1.167,12.65,144.8,21.9444444444444,737.9,276.6,180,3.51,14.13,-0.09,-0.17
150,"B","B1",1.177,12.65,144.8,21.9444444444444,737.9,277.2,180,3.82,15.37,-0.08,-0.16
150,"B","B1",1.177,12.65,144.7,21.9444444444444,737.9,277.9,181,3.38,13.65,-0.07,-0.16
150,"B","B1",1.191,12.65,144.7,21.8888888888889,737.9,278.2,181,4.15,16.67,-0.07,-0.15
150,"B","B1",1.214,12.65,144.6,21.8888888888889,737.9,278.9,181,4.3,17.26,-0.06,-0.15
150,"B","B1",1.214,12.65,144.6,21.8888888888889,737.9,279.7,182,4.79,19.19,-0.05,-0.15
150,"B","B1",1.223,12.2,139.3,21.8333333333333,737.9,280.6,182,5.05,20.23,-0.04,-0.14
