doy,pond,site_type,site_id,p_foliosus,p_nodosus,depth_m,canopy_m,canopy_flag,biomass_g,biomass_flag
186,F,Canopy,F19,1,0,1.65,1.6,,NA,
186,F,Canopy,F20,1,0,1.6,1.5,,NA,
186,F,Canopy,F21,1,1,1.1,1.1,,NA,
186,B,Canopy,B19,1,1,1.75,1.75,,NA,
186,B,Canopy,B20,1,0,1.55,1.55,,NA,
186,B,Canopy,B21,1,1,1.2,1.2,,NA,
186,F,Biomass,F1,1,1,NA,NA,,17.6,
186,F,Biomass,F2,1,1,NA,NA,,39,
186,F,Biomass,F3,1,1,NA,NA,,19.5,
186,F,Biomass,F4,1,1,NA,NA,,19.7,
186,F,Biomass,F5,1,0,NA,NA,,50.3,
186,F,Biomass,F6,0,1,NA,NA,,37.8,
186,F,Biomass,F7,1,1,NA,NA,,30.5,
186,F,Biomass,F8,1,0,NA,NA,,44.5,
186,F,Biomass,F9,1,1,NA,NA,,24.7,
186,F,Biomass,F10,1,1,NA,NA,,18,
186,F,Biomass,F11,1,0,NA,NA,,28.4,
186,F,Biomass,F12,1,1,NA,NA,,26.9,
186,F,Biomass,F13,1,1,NA,NA,,10.8,
186,F,Biomass,F14,1,0,NA,NA,,24.3,
186,F,Biomass,F15,1,1,NA,NA,,17.5,
186,F,Biomass,F16,0,1,NA,NA,,38.5,
186,F,Biomass,F17,1,1,NA,NA,,37.8,
186,F,Biomass,F18,0,1,NA,NA,,28.3,
186,B,Biomass,B1,0,1,NA,NA,,28.5,
186,B,Biomass,B2,0,1,NA,NA,,34.4,
186,B,Biomass,B3,0,1,NA,NA,,42.8,
186,B,Biomass,B4,0,1,NA,NA,,49.3,
186,B,Biomass,B5,1,0,NA,NA,,0.8,
186,B,Biomass,B6,0,1,NA,NA,,53,
186,B,Biomass,B7,0,1,NA,NA,,31.4,
186,B,Biomass,B8,1,0,NA,NA,,1.5,
186,B,Biomass,B9,0,1,NA,NA,,18.5,
186,B,Biomass,B10,0,1,NA,NA,,19.4,
186,B,Biomass,B11,1,0,NA,NA,,45.8,
186,B,Biomass,B12,0,1,NA,NA,,10.1,
186,B,Biomass,B13,0,1,NA,NA,,23.2,
186,B,Biomass,B14,1,1,NA,NA,,39.7,
186,B,Biomass,B15,0,1,NA,NA,,35.8,
186,B,Biomass,B16,0,1,NA,NA,,25.5,
186,B,Biomass,B17,0,1,NA,NA,,34.6,
186,B,Biomass,B18,0,1,NA,NA,,43.9,
192,F,Canopy,F19,1,0,1.55,1.45,,NA,
192,F,Canopy,F20,1,0,1.5,1.3,,NA,
192,F,Canopy,F21,1,1,1.1,1.1,,NA,
192,B,Canopy,B19,0,0,1.7,0,b,NA,
192,B,Canopy,B20,1,0,1.55,1.55,,NA,
192,B,Canopy,B21,1,1,1.2,1.2,,NA,
199,F,Canopy,F19,1,0,1.6,1,,NA,
199,F,Canopy,F20,1,0,1.55,1,,NA,
199,F,Canopy,F21,1,1,1.05,1.05,,NA,
199,B,Canopy,B19,0,0,1.7,0,b,NA,
199,B,Canopy,B20,0,0,1.55,0,b,NA,
199,B,Canopy,B21,0,1,1.15,1.15,,NA,
